epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,28728.3,0.8454,0.61182,1.04459,0.96092,0.85065,0.90502,0.69483,0.76715,0.57047,1.1034,0.003268,0.003268,0.003268
70,29139.8,0.80806,0.57512,1.04509,0.93422,0.86075,0.89509,0.7058,0.77505,0.57745,1.112,0.003169,0.003169,0.003169
71,29546.4,0.78287,0.56923,1.02107,0.95755,0.87969,0.89268,0.7118,0.75123,0.58989,1.09941,0.00307,0.00307,0.00307
72,29974,0.79215,0.57706,1.04172,0.97577,0.88095,0.91555,0.70676,0.84425,0.57204,1.2031,0.002971,0.002971,0.002971
73,30387.9,0.76576,0.54565,1.00868,0.98289,0.88095,0.9232,0.74372,0.85386,0.55528,1.21263,0.002872,0.002872,0.002872
74,30811.6,0.76773,0.55232,1.01285,0.96493,0.87338,0.93089,0.7439,0.89924,0.55288,1.26032,0.002773,0.002773,0.002773
75,31243.8,0.77757,0.55951,1.0153,0.96662,0.86595,0.92502,0.72308,0.91032,0.55789,1.26276,0.002674,0.002674,0.002674
76,31668.1,0.75388,0.54465,1.02789,0.97669,0.85913,0.93905,0.77149,0.86776,0.59843,1.24634,0.002575,0.002575,0.002575
77,32095.6,0.71074,0.53052,0.98969,0.95112,0.8658,0.93288,0.74828,0.83423,0.59327,1.16745,0.002476,0.002476,0.002476
78,32525.3,0.73216,0.51985,1.00447,0.99352,0.86959,0.92811,0.74779,0.77826,0.52665,1.13988,0.002377,0.002377,0.002377
79,32948.3,0.71557,0.51753,0.99732,0.96995,0.87114,0.91326,0.72778,0.77694,0.54929,1.1322,0.002278,0.002278,0.002278
80,33379.1,0.70954,0.50654,0.9887,0.98411,0.86528,0.89886,0.7331,0.87512,0.55882,1.20935,0.002179,0.002179,0.002179
81,33804.3,0.71302,0.49321,1.00172,0.94247,0.88095,0.90599,0.75349,0.79334,0.55006,1.15328,0.00208,0.00208,0.00208
82,34210.1,0.70811,0.48779,1.00172,0.9652,0.86871,0.91009,0.74422,0.74829,0.52151,1.1088,0.001981,0.001981,0.001981
83,34633,0.70487,0.47469,0.95963,0.96009,0.86902,0.91352,0.70949,0.81838,0.51413,1.16432,0.001882,0.001882,0.001882
84,35032.9,0.71794,0.49739,0.98325,0.94599,0.8768,0.91382,0.76,0.75398,0.52927,1.12923,0.001783,0.001783,0.001783
85,35424.3,0.72794,0.49655,0.97801,0.93392,0.87338,0.918,0.76237,0.74601,0.53208,1.12231,0.001684,0.001684,0.001684
86,35823.7,0.67576,0.49873,0.97419,0.94901,0.86895,0.93087,0.75168,0.76509,0.5337,1.14658,0.001585,0.001585,0.001585
87,36225.1,0.70166,0.49756,0.97353,0.95847,0.8663,0.93541,0.74684,0.77113,0.53216,1.16259,0.001486,0.001486,0.001486
88,36622.3,0.68817,0.4793,0.97032,0.96187,0.8724,0.9379,0.74703,0.78548,0.50823,1.14272,0.001387,0.001387,0.001387
89,37017,0.69128,0.47828,0.96629,0.96007,0.87413,0.93797,0.73968,0.75983,0.48789,1.12661,0.001288,0.001288,0.001288
90,37420.7,0.65868,0.45709,0.95071,0.95637,0.87338,0.93049,0.72502,0.76943,0.49623,1.1153,0.001189,0.001189,0.001189
91,37815.4,0.65335,0.47092,0.96422,0.95372,0.87338,0.93572,0.73574,0.77663,0.4949,1.11649,0.00109,0.00109,0.00109
92,38197.2,0.63471,0.44043,0.95866,0.95571,0.86366,0.93183,0.74023,0.77466,0.50795,1.12085,0.000991,0.000991,0.000991
93,38590.7,0.61138,0.42958,0.93753,0.91863,0.8984,0.93381,0.7568,0.74215,0.49394,1.1101,0.000892,0.000892,0.000892
94,39011.6,0.64207,0.43167,0.96711,0.95265,0.87469,0.93202,0.76735,0.7323,0.4871,1.11499,0.000793,0.000793,0.000793
95,39400.5,0.60788,0.40401,0.93739,0.9604,0.87338,0.92337,0.73175,0.76197,0.49523,1.12947,0.000694,0.000694,0.000694
96,40468.1,0.57326,0.40623,0.94018,0.95067,0.87668,0.91622,0.72416,0.80042,0.52434,1.14378,0.000595,0.000595,0.000595
97,40847.8,0.58958,0.41473,0.92707,0.94508,0.87316,0.9176,0.72793,0.79016,0.52402,1.14329,0.000496,0.000496,0.000496
98,41233.1,0.5661,0.4038,0.92831,0.93886,0.89063,0.92262,0.75147,0.77302,0.5101,1.14382,0.000397,0.000397,0.000397
99,41618.2,0.5767,0.39473,0.92458,0.92731,0.90005,0.92383,0.75621,0.75184,0.48912,1.13409,0.000298,0.000298,0.000298
100,42004.8,0.55306,0.39061,0.94626,0.92785,0.89994,0.92224,0.7562,0.72828,0.46922,1.12246,0.000199,0.000199,0.000199
