epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2052.01,1.06124,0.85451,1.12173,0.89655,0.90556,0.94231,0.64259,1.12665,0.87021,1.09574,0.003268,0.003268,0.003268
70,2080.58,1.07813,0.96696,1.15226,0.94492,0.89887,0.94172,0.64521,1.16533,0.83769,1.11353,0.003169,0.003169,0.003169
71,2109.43,0.94002,0.75474,1.03741,0.97298,0.91312,0.95103,0.64081,1.17721,0.82547,1.1179,0.00307,0.00307,0.00307
72,2138.81,0.96549,0.78775,1.05683,0.94431,0.93345,0.9723,0.65765,1.12839,0.76683,1.08641,0.002971,0.002971,0.002971
73,2167.83,0.92044,0.73103,1.02812,0.91708,0.94079,0.97194,0.64782,1.15088,0.75555,1.09573,0.002872,0.002872,0.002872
74,2197.42,0.90952,0.71618,1.03109,0.92173,0.93683,0.98056,0.6277,1.14847,0.73123,1.10378,0.002773,0.002773,0.002773
75,2227.46,0.83454,0.70164,0.99903,0.923,0.94181,0.98487,0.62707,1.18094,0.7412,1.13238,0.002674,0.002674,0.002674
76,2257.01,0.95643,0.7449,1.05727,0.93497,0.93899,0.99145,0.64969,1.15914,0.72064,1.13705,0.002575,0.002575,0.002575
77,2286.38,0.89268,0.75557,1.04367,0.94341,0.92507,0.99289,0.67131,1.12494,0.71879,1.11248,0.002476,0.002476,0.002476
78,2315.93,0.95109,0.8644,1.07568,0.92932,0.91786,0.99211,0.68309,1.14099,0.75037,1.12024,0.002377,0.002377,0.002377
79,2345.57,0.91183,0.68549,1.04323,0.93015,0.91526,0.98622,0.6511,1.18901,0.77816,1.14611,0.002278,0.002278,0.002278
80,2374.85,0.96196,0.79264,1.08286,0.94299,0.90925,0.97207,0.63917,1.29105,0.77111,1.20285,0.002179,0.002179,0.002179
81,2404.39,0.8491,0.69933,1.01986,0.94997,0.9098,0.97515,0.64098,1.22516,0.73909,1.16548,0.00208,0.00208,0.00208
82,2433.67,0.87733,0.69385,0.9993,0.92018,0.95589,0.98059,0.66179,1.15942,0.70931,1.1308,0.001981,0.001981,0.001981
83,2463.23,0.8745,0.72506,0.99391,0.93256,0.94976,0.98335,0.6651,1.13064,0.68987,1.11084,0.001882,0.001882,0.001882
84,2492.91,0.86601,0.67163,1.02417,0.91429,0.96519,0.98179,0.67039,1.13455,0.67075,1.11098,0.001783,0.001783,0.001783
85,2522.37,0.81425,0.69161,1.01197,0.9167,0.95272,0.98363,0.68613,1.13647,0.67018,1.11868,0.001684,0.001684,0.001684
86,2552.22,0.80668,0.69345,1.01078,0.92095,0.95776,0.98203,0.66965,1.14976,0.65793,1.1284,0.001585,0.001585,0.001585
87,2582.1,0.83921,0.64522,0.98128,0.91021,0.96111,0.98417,0.67289,1.13493,0.65094,1.12235,0.001486,0.001486,0.001486
88,2611.53,0.81241,0.65759,1.0046,0.95269,0.98089,0.98921,0.69179,1.0731,0.63897,1.09137,0.001387,0.001387,0.001387
89,2641.17,0.8501,0.66549,1.00211,0.93991,0.98109,0.98833,0.69827,1.06171,0.64058,1.08299,0.001288,0.001288,0.001288
90,2670.85,0.86749,0.64706,0.98881,0.94204,0.99303,0.98921,0.69079,1.06407,0.6365,1.0827,0.001189,0.001189,0.001189
91,2700.64,0.89076,0.82113,0.98322,0.93206,0.99378,0.9874,0.68611,1.06896,0.63899,1.0857,0.00109,0.00109,0.00109
92,2730.38,0.74332,0.70484,0.95043,0.93024,0.97773,0.98452,0.6906,1.0664,0.64749,1.09043,0.000991,0.000991,0.000991
93,2760.15,0.81833,0.65183,0.98203,0.93669,0.96463,0.98107,0.68436,1.08096,0.66226,1.09469,0.000892,0.000892,0.000892
94,2789.78,0.72178,0.62905,0.95836,0.94363,0.96304,0.98149,0.67001,1.09392,0.67609,1.09497,0.000793,0.000793,0.000793
95,2819.3,0.7363,0.60953,0.93412,0.92754,0.97742,0.97875,0.67307,1.09565,0.68389,1.09052,0.000694,0.000694,0.000694
96,2848.76,0.69326,0.59334,0.95783,0.95532,0.95601,0.9816,0.66885,1.10531,0.67866,1.08874,0.000595,0.000595,0.000595
97,2878.33,0.7288,0.59582,0.96741,0.95397,0.96732,0.98389,0.67065,1.10909,0.66804,1.09436,0.000496,0.000496,0.000496
98,2907.68,0.74692,0.5846,0.91458,0.95704,0.96623,0.98389,0.66924,1.11443,0.65831,1.10254,0.000397,0.000397,0.000397
99,2936.74,0.68967,0.58243,0.904,0.95954,0.9637,0.98389,0.66782,1.11567,0.64639,1.1096,0.000298,0.000298,0.000298
100,2966.03,0.64634,0.5576,0.89176,0.96006,0.9618,0.98389,0.6766,1.10692,0.63735,1.11018,0.000199,0.000199,0.000199
